name,funder_org,amt
National Institute of Allergy and Infectious Diseases,grid.419681.3,2404325220.0
National Heart Lung and Blood Institute,grid.279885.9,2225542257.0
European Commission,grid.270680.b,2148060009.0
Federal Ministry of Education and Research,grid.5586.e,1096540687.0
Substance Abuse and Mental Health Services Administration,grid.413730.2,1052310427.0
National Institute for Health and Care Research,grid.451056.3,887200648.0
Bill & Melinda Gates Foundation,grid.418309.7,819174943.0
Japan Agency for Medical Research and Development,grid.480536.c,697814205.0
National Oceanic and Atmospheric Administration,grid.3532.7,572559087.0
National Cancer Institute,grid.48336.3a,560615360.0
UK Research and Innovation,grid.496779.2,457879648.0
Canadian Institutes of Health Research,grid.248883.d,426512903.0
Innovate UK,grid.423443.6,296776776.0
National Institute on Minority Health and Health Disparities,grid.281076.a,277225538.0
Robert Wood Johnson Foundation,grid.419213.c,275807098.0
National Institute of Food and Agriculture,grid.482914.2,265671137.0
Medical Research Council,grid.14105.31,257420128.0
National Institute on Drug Abuse,grid.420090.f,234648081.0
Patient-Centered Outcomes Research Institute,grid.430109.f,231158637.0
Congressionally Directed Medical Research Programs,grid.496791.4,223336088.0
National Institute on Aging,grid.419475.a,216003736.0
National Center for Advancing Translational Sciences,grid.429651.d,209132296.0
Japan Society for the Promotion of Science,grid.54432.34,196180196.0
Eunice Kennedy Shriver National Institute of Child Health and Human Development,grid.420089.7,193847852.0
Wellcome Trust,grid.52788.30,187706000.0
National Institute of Mental Health,grid.416868.5,174716243.0
Swiss National Science Foundation,grid.425888.b,156326765.0
Economic and Social Research Council,grid.434257.3,151809958.0
,grid.457799.1,148725459.0
Directorate for Engineering,grid.457810.f,145021997.0
Office of the Director,grid.453125.4,135677155.0
Natural Sciences and Engineering Research Council,grid.452912.9,132186890.0
Directorate for Computer & Information Science & Engineering,grid.457785.c,124905346.0
The Research Council of Norway,grid.13985.36,120983486.0
,grid.457768.f,119229657.0
,grid.515271.5,113009036.0
Engineering and Physical Sciences Research Council,grid.421091.f,108176504.0
United States Department of Education,grid.419881.d,107374185.0
,grid.457916.8,105623167.0
,grid.522789.3,103255228.0
European Research Council,grid.452896.4,100486011.0
National Institute of Diabetes and Digestive and Kidney Diseases,grid.419635.c,100279733.0
European & Developing Countries Clinical Trials Partnership,grid.453375.3,90662761.0
National Institute of General Medical Sciences,grid.280785.0,90134648.0
,grid.457875.c,89476817.0
"Department for Business, Energy and Industrial Strategy",grid.474436.6,89171383.0
United States National Library of Medicine,grid.280285.5,85508000.0
National Center for Immunization and Respiratory Diseases,grid.419260.8,81322767.0
Swedish Research Council,grid.208387.6,80069699.0
Agence Nationale de la Recherche,grid.22058.3d,70321135.0
NIHR Evaluation Trials and Studies Coordinating Centre,grid.473757.5,64781525.0
"Ministry of Business, Innovation and Employment",grid.431594.e,62566656.0
Novo Nordisk Foundation,grid.487026.f,60775038.0
National Institute on Alcohol Abuse and Alcoholism,grid.420085.b,60106783.0
National Health and Medical Research Council,grid.431143.0,56959174.0
Federal Office of Public Health,grid.414841.c,56197749.0
Office of Science,grid.453216.7,54763723.0
National Science Center,grid.436846.b,51104706.0
National Institute of Environmental Health Sciences,grid.280664.e,50622501.0
National Institute of Nursing Research,grid.280738.6,50283779.0
,grid.453070.5,49489063.0
Agency for Healthcare Research and Quality,grid.413404.6,49470020.0
Federal Department of Foreign Affairs,grid.467659.f,48695499.0
United States Department of the Air Force,grid.495456.f,48695374.0
Ministry of Health Labour and Welfare,grid.415828.2,44797640.0
United States Department of Veterans Affairs,grid.418356.d,42549609.0
National Endowment for the Humanities,grid.422239.c,41917407.0
National Institute of Biomedical Imaging and Bioengineering,grid.280347.a,39766634.0
Biotechnology and Biological Sciences Research Council,grid.418100.c,39460139.0
National Institute of Neurological Disorders and Stroke,grid.416870.c,39396116.0
United States Food and Drug Administration,grid.417587.8,37641486.0
,grid.423753.4,36245571.0
Academy of Finland,grid.15098.35,34084608.0
National Center for Emerging and Zoonotic Infectious Diseases,grid.467923.d,33545962.0
,grid.439998.6,32542108.0
Centers for Disease Control and Prevention,grid.416738.f,32343167.0
FWF Austrian Science Fund,grid.25111.36,30022215.0
Swedish Research Council for Health Working Life and Welfare,grid.434365.3,29185421.0
Arts and Humanities Research Council,grid.426413.6,27788279.0
National Institute of Arthritis and Musculoskeletal and Skin Diseases,grid.420086.8,26798903.0
Instituto de Salud Carlos III,grid.413448.e,26681600.0
Hewlett Foundation,grid.453151.7,26276000.0
American Heart Association,grid.427645.6,26144528.0
Fundação para a Ciência e Tecnologia,grid.22919.31,25869938.0
Social Sciences and Humanities Research Council,grid.183804.6,25538173.0
National Institute for Occupational Safety and Health,grid.416809.2,24460987.0
Ministry of Education Youth and Sports,grid.436103.3,22424551.0
Innovation and Technology Commission,grid.453115.7,21287916.0
,grid.457898.f,21133957.0
,grid.426453.2,21052019.0
Science Foundation Ireland,grid.437854.9,20835220.0
VINNOVA,grid.453022.2,19281971.0
Ford Foundation,grid.453172.6,19032846.0
University Grants Committee,grid.452948.6,18650815.0
National Institute of Dental and Craniofacial Research,grid.419633.a,18335191.0
United States Department of Defense,grid.420391.d,17798208.0
Natural Environment Research Council,grid.8682.4,17355961.0
National Institute on Deafness and Other Communication Disorders,grid.214431.1,16685981.0
Ministry of Colleges and Universities,grid.484556.e,16109630.0
"National Institute on Disability, Independent Living, and Rehabilitation Research",grid.473857.a,15873996.0
Health Research Council of New Zealand,grid.452999.a,15779544.0
Institute of Museum and Library Services,grid.431754.0,15466590.0
Fonds de Recherche du Québec - Santé,grid.453037.6,15029593.0
,grid.457836.b,14960259.0
,grid.452996.5,14538871.0
