score,preferred,last_name,first_name,researcher_id
43610,Covid-19: Researcher blows the whistle on data integrity issues in Pfizer’s vaccine trial,Thacker,Paul D,ur.07637527753.21
34655,The proximal origin of SARS-CoV-2,Holmes,Edward C.,ur.012501436222.04
34655,The proximal origin of SARS-CoV-2,Lipkin,W. Ian,ur.01306555033.15
34655,The proximal origin of SARS-CoV-2,Garry,Robert F.,ur.01051136257.59
34655,The proximal origin of SARS-CoV-2,Rambaut,Andrew,ur.0633743356.16
34655,The proximal origin of SARS-CoV-2,Andersen,Kristian G.,ur.0701117322.53
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Nielsen,Pernille B.,ur.016667625517.12
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Winsløw,Ulrik C.,ur.01102110041.14
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Iversen,Kasper,ur.01062445725.16
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Skovgaard,Kerstin,ur.01271546226.31
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Goecke,Nicole Bakkegård,ur.014717043577.60
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Norsk,Jakob Boesgaard,ur.01315441730.00
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Hasselbalch,Rasmus,ur.010606445621.72
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Bundgaard,Henning,ur.012145504404.94
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Benfield,Thomas,ur.0614447562.23
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Fogh,Kamille,ur.01325361164.72
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Ullum,Henrik,ur.01010523770.22
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Vissing,Christoffer Rasmus,ur.01106157206.06
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Todsen,Tobias,ur.01174112266.29
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Raaschou-Pedersen,Daniel Emil Tadeusz,ur.07632553764.45
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,von Buchwald,Christian,ur.01240540000.69
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Pries-Heje,Mia M.,ur.012201406621.61
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Kristensen,Jonas H.,ur.011121203567.05
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Ringgaard,Anna,ur.016523561354.65
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Torp-Pedersen,Christian,ur.0663477273.08
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Andersen,Mikkel Porsborg,ur.011415007345.05
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Trebbien,Ramona,ur.0703430276.76
32167,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,Bundgaard,Johan Skov,ur.011125127544.81
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Lockhart,Stephen,ur.01155017074.41
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Gurtman,Alejandra,ur.0766540106.68
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Hammitt,Laura L,
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Nell,Haylene,ur.01051056763.52
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Şahin,Uğur,
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Frenck,Robert W,
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Perez,John L,
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Koury,Kenneth,ur.01252412675.84
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Ünal,Serhat,ur.01115453237.24
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Absalon,Judith,ur.0726712623.28
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Cooper,David,
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Kalina,Warren V,ur.0577211724.06
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Li,Ping,
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Dormitzer,Philip R,ur.01124563153.82
31672,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Türeci,Özlem,
