Institution,Country,City,t,c
Harvard University,United States,Cambridge,"[""Education""]",25137
University of Toronto,Canada,Toronto,"[""Education""]",15931
University of Oxford,United Kingdom,Oxford,"[""Education""]",14679
University College London,United Kingdom,London,"[""Education""]",14461
Johns Hopkins University,United States,Baltimore,"[""Education""]",14212
University of Washington,United States,Seattle,"[""Education""]",11979
Stanford University,United States,Stanford,"[""Education""]",11214
Universidade de São Paulo,Brazil,São Paulo,"[""Education""]",10852
University of Michigan–Ann Arbor,United States,Ann Arbor,"[""Education""]",10624
Imperial College London,United Kingdom,London,"[""Education""]",10448
University of Melbourne,Australia,Melbourne,"[""Education""]",10419
University of Pennsylvania,United States,Philadelphia,"[""Education""]",10341
"University of California, San Francisco",United States,San Francisco,"[""Education""]",10027
Yale University,United States,New Haven,"[""Education""]",9791
King's College London,United Kingdom,London,"[""Education""]",9495
University of British Columbia,Canada,Vancouver,"[""Education""]",9096
The University of Sydney,Australia,Sydney,"[""Education""]",9068
Monash University,Australia,Melbourne,"[""Education""]",9001
Massachusetts General Hospital,United States,Boston,"[""Healthcare""]",8701
"University of California, Los Angeles",United States,Los Angeles,"[""Education""]",8598
Emory University,United States,Atlanta,"[""Education""]",7998
University of Cambridge,United Kingdom,Cambridge,"[""Education""]",7995
Columbia University,United States,New York,"[""Education""]",7741
Cornell University,United States,Ithaca,"[""Education""]",7720
UNSW Sydney,Australia,Sydney,"[""Education""]",7574
New York University,United States,New York,"[""Education""]",7484
Brigham and Women's Hospital,United States,Boston,"[""Healthcare""]",7429
Sapienza University of Rome,Italy,Rome,"[""Education""]",7099
"University of California, San Diego",United States,San Diego,"[""Education""]",6990
Zhejiang University,China,Hangzhou,"[""Education""]",6941
University of Queensland,Australia,Brisbane,"[""Education""]",6892
Duke University,United States,Durham,"[""Education""]",6762
London School of Hygiene & Tropical Medicine,United Kingdom,London,"[""Education""]",6755
National University of Singapore,Singapore,Singapore,"[""Education""]",6707
Shanghai Jiao Tong University,China,Shanghai,"[""Education""]",6566
University of North Carolina at Chapel Hill,United States,Chapel Hill,"[""Education""]",6398
University of Hong Kong,China,Hong Kong,"[""Education""]",6348
University of Manchester,United Kingdom,Manchester,"[""Education""]",6325
University of Florida,United States,Gainesville,"[""Education""]",6298
University of Pittsburgh,United States,Pittsburgh,"[""Education""]",6296
University of Edinburgh,United Kingdom,Edinburgh,"[""Education""]",6291
University of Milan,Italy,Milan,"[""Education""]",6281
Icahn School of Medicine at Mount Sinai,United States,New York,"[""Education""]",6269
McGill University,Canada,Montreal,"[""Education""]",6256
University of Minnesota,United States,Minneapolis,"[""Education""]",6225
Mayo Clinic,United States,Rochester,"[""Healthcare""]",6195
Northwestern University,United States,Evanston,"[""Education""]",6163
Huazhong University of Science and Technology,China,Wuhan,"[""Education""]",6098
Karolinska Institutet,Sweden,Stockholm,"[""Education""]",5938
McMaster University,Canada,Hamilton,"[""Education""]",5838
Boston University,United States,Boston,"[""Education""]",5809
