year,h,h_c
2020,Humans,85169
2020,COVID-19,66247
2020,SARS-CoV-2,52307
2020,Pandemics,48468
2020,Coronavirus Infections,39937
2020,"Pneumonia, Viral",39419
2020,Betacoronavirus,33033
2020,Female,22556
2020,Male,21128
2020,Middle Aged,14106
2020,Adult,13870
2020,Aged,11599
2020,Animals,6397
2020,Retrospective Studies,5411
2020,Child,5257
2020,Young Adult,5211
2020,United States,5079
2020,Adolescent,5021
2020,China,4826
2020,"Aged, 80 and over",4682
2020,Risk Factors,4470
2020,COVID-19 Drug Treatment,4030
2020,COVID-19 Testing,3778
2020,Antiviral Agents,3418
2020,Surveys and Questionnaires,3322
2020,Telemedicine,3131
2020,Cross-Sectional Studies,2928
2020,Treatment Outcome,2894
2020,Clinical Laboratory Techniques,2848
2020,Hospitalization,2782
2020,Infection Control,2777
2020,Disease Outbreaks,2725
2020,Coronavirus,2647
2020,Italy,2592
2020,Severity of Illness Index,2583
2020,Health Personnel,2555
2020,Comorbidity,2474
2020,Communicable Disease Control,2315
2020,Public Health,2201
2020,Lung,2170
2020,Delivery of Health Care,2145
2020,"Tomography, X-Ray Computed",2139
2020,Quarantine,2129
2020,"Child, Preschool",2114
2020,Pregnancy,2091
2020,Risk Assessment,2077
2020,Personal Protective Equipment,2035
2020,Prognosis,1876
2020,Infant,1857
2020,Time Factors,1818
2020,United Kingdom,1814
2020,Global Health,1777
2020,"Antibodies, Viral",1771
2020,Mental Health,1728
2020,Angiotensin-Converting Enzyme 2,1712
2020,Intensive Care Units,1705
2020,Prospective Studies,1663
2020,Prevalence,1654
2020,Neoplasms,1592
2020,Incidence,1580
2020,"Infant, Newborn",1573
2020,"RNA, Viral",1529
2020,COVID-19 Vaccines,1508
2020,Practice Guidelines as Topic,1470
2020,Age Factors,1409
2020,Cohort Studies,1373
2020,Anxiety,1369
2020,"Spike Glycoprotein, Coronavirus",1355
2020,Biomarkers,1310
2020,Hydroxychloroquine,1298
2020,Health Services Accessibility,1253
2020,"Emergency Service, Hospital",1252
2020,"Respiration, Artificial",1241
2020,Inflammation,1227
2020,Peptidyl-Dipeptidase A,1204
2020,Mice,1196
2020,"Infectious Disease Transmission, Patient-to-Professional",1175
2020,Cytokines,1119
2020,Spain,1119
2020,Critical Illness,1109
2020,Critical Care,1109
2020,Sensitivity and Specificity,1081
2020,India,1078
2020,"Disease Transmission, Infectious",1077
2020,"Stress, Psychological",1054
2020,Severe Acute Respiratory Syndrome,1031
2020,Respiratory Distress Syndrome,1011
2020,"Pregnancy Complications, Infectious",1004
2020,Cardiovascular Diseases,976
2020,Depression,972
2020,Social Isolation,968
2020,Viral Vaccines,968
2020,Clinical Trials as Topic,962
2020,Masks,946
2020,"Influenza, Human",929
2020,Severe acute respiratory syndrome-related coronavirus,928
2020,Socioeconomic Factors,906
2020,Health Policy,897
2020,Host-Pathogen Interactions,894
2020,Disease Progression,875
2020,Hospitals,874
2020,Brazil,865
2020,Reverse Transcriptase Polymerase Chain Reaction,854
2020,Physical Distancing,847
2020,Virus Replication,842
2020,Mental Disorders,829
2020,Europe,825
2020,Anti-Bacterial Agents,823
2020,Reproducibility of Results,818
2020,Hospital Mortality,817
2020,Diabetes Mellitus,802
2020,Biomedical Research,798
2020,Randomized Controlled Trials as Topic,773
2020,Social Media,773
2020,Sex Factors,769
2020,Internship and Residency,767
2020,Communication,759
2020,"Health Knowledge, Attitudes, Practice",755
2020,Immunoglobulin G,754
2020,Quality of Life,744
2020,Vaccination,731
2020,Triage,730
2020,Hypertension,724
2020,Follow-Up Studies,723
2020,Molecular Docking Simulation,718
2020,Cross Infection,718
2020,Signal Transduction,713
2020,Cytokine Release Syndrome,711
2020,Internet,711
2020,Anticoagulants,705
2020,"Antibodies, Monoclonal, Humanized",700
2020,"Genome, Viral",700
2020,"Models, Theoretical",697
2020,Aerosols,691
2020,Mass Screening,690
2020,Case-Control Studies,687
2020,HIV Infections,686
2020,Real-Time Polymerase Chain Reaction,684
2020,Australia,681
2020,Viral Load,662
2020,France,660
2020,Disease Management,660
2020,Obesity,652
2020,Phylogeny,651
2020,"Education, Distance",651
2020,Contact Tracing,642
2020,"Immunity, Innate",642
2020,"Societies, Medical",637
2020,Algorithms,636
2020,Fever,635
2020,Germany,627
2020,Travel,625
2020,Epidemics,623
2020,Protein Binding,620
2020,"Diagnosis, Differential",619
2020,Drug Repositioning,608
2020,Canada,601
2020,Physicians,598
2020,New York City,588
2020,Exercise,588
2020,Patient Safety,586
2020,"Antibodies, Neutralizing",583
2020,"Students, Medical",580
2020,Forecasting,576
2020,Stroke,575
2020,Occupational Exposure,573
2020,Elective Surgical Procedures,570
2020,Thrombosis,569
2020,"Adaptation, Psychological",564
2020,"Immunization, Passive",557
2020,Health Status Disparities,550
2020,Length of Stay,545
2020,Healthcare Disparities,544
2020,Research Design,543
2020,Asymptomatic Infections,542
2020,Virus Internalization,540
2020,Tertiary Care Centers,539
2020,Angiotensin-Converting Enzyme Inhibitors,528
2020,Occupational Health,528
2020,COVID-19 Serotherapy,524
2020,Attitude of Health Personnel,524
2020,Students,523
2020,World Health Organization,523
2020,Primary Health Care,522
2020,Coinfection,521
2020,Developing Countries,518
2020,Curriculum,516
2020,Emergencies,515
2020,Nasopharynx,514
2020,COVID-19 Nucleic Acid Testing,508
2020,C-Reactive Protein,507
2020,Mental Health Services,507
2020,"Disease Models, Animal",504
2020,Mutation,504
2020,Interleukin-6,504
2020,Republic of Korea,502
2020,Anti-Inflammatory Agents,502
2020,"Radiography, Thoracic",500
2020,Mortality,500
2020,Cell Line,497
2020,"Models, Biological",496
2020,Politics,495
2020,Computer Simulation,495
2020,Respiratory Insufficiency,493
2020,Renin-Angiotensin System,487
2020,Immunosuppressive Agents,486
2020,Referral and Consultation,483
2020,Vulnerable Populations,476
2020,Risk,475
2020,Aging,473
2020,Middle East Respiratory Syndrome Coronavirus,470
2020,Information Dissemination,470
2020,Alanine,468
2020,Japan,465
2020,Adenosine Monophosphate,465
2020,Ambulatory Care,461
2020,Cities,460
2020,Predictive Value of Tests,458
2020,Chlorocebus aethiops,455
2020,Fibrin Fibrinogen Degradation Products,454
2020,Fear,452
2020,Viral Proteins,450
2020,"Intubation, Intratracheal",449
2020,"Education, Medical",449
2020,Pneumonia,448
2020,Clinical Competence,448
2020,"Infectious Disease Transmission, Vertical",448
2020,Registries,447
2020,Respiratory Tract Infections,445
2020,Patient Selection,445
2020,Chloroquine,444
2020,"Models, Statistical",443
2020,Chronic Disease,439
2020,Iran,439
2020,Brain,438
2020,Decision Making,437
2020,"Models, Molecular",436
2020,Health Services Needs and Demand,434
2020,Cough,433
2020,Molecular Dynamics Simulation,431
2020,Vero Cells,428
2020,"Diabetes Mellitus, Type 2",427
2020,Polymerase Chain Reaction,427
2020,Periodicals as Topic,426
2020,Qualitative Research,424
2020,Black or African American,422
2020,Universities,420
2020,Leadership,420
2020,Survival Analysis,419
2020,Health Behavior,415
2020,Disease Susceptibility,414
2020,Logistic Models,412
2020,Virus Diseases,411
2020,Survival Rate,410
2020,Immunoglobulin M,409
2020,Time-to-Treatment,409
2020,Patient Care Team,408
2020,Acute Disease,406
2020,Acute Kidney Injury,405
2020,"Databases, Factual",405
2020,Magnetic Resonance Imaging,404
2020,Social Support,404
2020,"Receptors, Virus",404
2020,Artificial Intelligence,402
2020,"Practice Patterns, Physicians'",401
2020,Nursing Homes,400
2020,Computational Biology,397
2020,"Drug Therapy, Combination",397
2020,Pilot Projects,396
2020,Consensus,396
2020,Ultrasonography,394
2020,Patient Isolation,393
2020,Clinical Decision-Making,393
